Date,Ticker,Gtrend
2014-09-17,BTC-USD,47
2014-09-18,BTC-USD,46
2014-09-19,BTC-USD,53
2014-09-20,BTC-USD,46
2014-09-21,BTC-USD,48
2014-09-22,BTC-USD,47
2014-09-23,BTC-USD,57
2014-09-24,BTC-USD,54
2014-09-25,BTC-USD,48
2014-09-26,BTC-USD,44
2014-09-27,BTC-USD,39
2014-09-28,BTC-USD,47
2014-09-29,BTC-USD,55
2014-09-30,BTC-USD,54
2014-10-01,BTC-USD,47
2014-10-02,BTC-USD,47
2014-10-03,BTC-USD,45
2014-10-04,BTC-USD,52
2014-10-05,BTC-USD,65
2014-10-06,BTC-USD,66
2014-10-07,BTC-USD,59
2014-10-08,BTC-USD,56
2014-10-09,BTC-USD,57
2014-10-10,BTC-USD,50
2014-10-11,BTC-USD,45
2014-10-12,BTC-USD,45
2014-10-13,BTC-USD,49
2014-10-14,BTC-USD,57
2014-10-15,BTC-USD,53
2014-10-16,BTC-USD,47
2014-10-17,BTC-USD,43
2014-10-18,BTC-USD,46
2014-10-19,BTC-USD,43
2014-10-20,BTC-USD,39
2014-10-21,BTC-USD,40
2014-10-22,BTC-USD,44
2014-10-23,BTC-USD,44
2014-10-24,BTC-USD,42
2014-10-25,BTC-USD,39
2014-10-26,BTC-USD,43
2014-10-27,BTC-USD,41
2014-10-28,BTC-USD,45
2014-10-29,BTC-USD,43
2014-10-30,BTC-USD,40
2014-10-31,BTC-USD,38
2014-11-01,BTC-USD,39
2014-11-02,BTC-USD,45
2014-11-03,BTC-USD,42
2014-11-04,BTC-USD,41
2014-11-05,BTC-USD,42
2014-11-06,BTC-USD,49
2014-11-07,BTC-USD,49
2014-11-08,BTC-USD,44
2014-11-09,BTC-USD,48
2014-11-10,BTC-USD,47
2014-11-11,BTC-USD,55
2014-11-12,BTC-USD,57
2014-11-13,BTC-USD,63
2014-11-14,BTC-USD,45
2014-11-15,BTC-USD,45
2014-11-16,BTC-USD,44
2014-11-17,BTC-USD,44
2014-11-18,BTC-USD,49
2014-11-19,BTC-USD,43
2014-11-20,BTC-USD,43
2014-11-21,BTC-USD,41
2014-11-22,BTC-USD,42
2014-11-23,BTC-USD,41
2014-11-24,BTC-USD,42
2014-11-25,BTC-USD,45
2014-11-26,BTC-USD,39
2014-11-27,BTC-USD,44
2014-11-28,BTC-USD,41
2014-11-29,BTC-USD,40
2014-11-30,BTC-USD,40
2014-12-01,BTC-USD,40
2014-12-02,BTC-USD,46
2014-12-03,BTC-USD,43
2014-12-04,BTC-USD,43
2014-12-05,BTC-USD,42
2014-12-06,BTC-USD,40
2014-12-07,BTC-USD,45
2014-12-08,BTC-USD,48
2014-12-09,BTC-USD,42
2014-12-10,BTC-USD,45
2014-12-11,BTC-USD,60
2014-12-12,BTC-USD,58
2014-12-13,BTC-USD,46
2014-12-14,BTC-USD,44
2014-12-15,BTC-USD,45
2014-12-16,BTC-USD,48
2014-12-17,BTC-USD,50
2014-12-18,BTC-USD,50
2014-12-19,BTC-USD,47
2014-12-20,BTC-USD,47
2014-12-21,BTC-USD,44
2014-12-22,BTC-USD,44
2014-12-23,BTC-USD,44
2014-12-24,BTC-USD,43
2014-12-25,BTC-USD,45
2014-12-26,BTC-USD,50
2014-12-27,BTC-USD,100
2014-12-28,BTC-USD,44
2014-12-29,BTC-USD,46
2014-12-30,BTC-USD,43
2014-12-31,BTC-USD,45
2015-01-01,BTC-USD,43
2015-01-02,BTC-USD,43
2015-01-03,BTC-USD,47
2015-01-04,BTC-USD,59
2015-01-05,BTC-USD,58
2015-01-06,BTC-USD,63
2015-01-07,BTC-USD,46
2015-01-08,BTC-USD,52
2015-01-09,BTC-USD,48
2015-01-10,BTC-USD,47
2015-01-11,BTC-USD,43
2015-01-12,BTC-USD,40
2015-01-13,BTC-USD,55
2015-01-14,BTC-USD,86
2015-01-15,BTC-USD,72
2015-01-16,BTC-USD,60
2015-01-17,BTC-USD,49
2015-01-18,BTC-USD,46
2015-01-19,BTC-USD,43
2015-01-20,BTC-USD,45
2015-01-21,BTC-USD,52
2015-01-22,BTC-USD,44
2015-01-23,BTC-USD,45
2015-01-24,BTC-USD,45
2015-01-25,BTC-USD,48
2015-01-26,BTC-USD,70
2015-01-27,BTC-USD,54
2015-01-28,BTC-USD,53
2015-01-29,BTC-USD,50
2015-01-30,BTC-USD,44
2015-01-31,BTC-USD,40
2015-02-01,BTC-USD,43
2015-02-02,BTC-USD,40
2015-02-03,BTC-USD,45
2015-02-04,BTC-USD,41
2015-02-05,BTC-USD,44
2015-02-06,BTC-USD,43
2015-02-07,BTC-USD,54
2015-02-08,BTC-USD,50
2015-02-09,BTC-USD,54
2015-02-10,BTC-USD,53
2015-02-11,BTC-USD,44
2015-02-12,BTC-USD,49
2015-02-13,BTC-USD,42
2015-02-14,BTC-USD,44
2015-02-15,BTC-USD,44
2015-02-16,BTC-USD,46
2015-02-17,BTC-USD,46
2015-02-18,BTC-USD,43
2015-02-19,BTC-USD,47
2015-02-20,BTC-USD,77
2015-02-21,BTC-USD,48
2015-02-22,BTC-USD,46
2015-02-23,BTC-USD,45
2015-02-24,BTC-USD,42
2015-02-25,BTC-USD,40
2015-02-26,BTC-USD,38
2015-02-27,BTC-USD,41
2015-02-28,BTC-USD,38
2015-03-01,BTC-USD,41
2015-03-02,BTC-USD,44
2015-03-03,BTC-USD,44
2015-03-04,BTC-USD,45
2015-03-05,BTC-USD,44
2015-03-06,BTC-USD,53
2015-03-07,BTC-USD,53
2015-03-08,BTC-USD,45
2015-03-09,BTC-USD,45
2015-03-10,BTC-USD,52
2015-03-11,BTC-USD,51
2015-03-12,BTC-USD,45
2015-03-13,BTC-USD,45
2015-03-14,BTC-USD,44
2015-03-15,BTC-USD,43
2015-03-16,BTC-USD,46
