Feature,Importance,Metric,Coin,Model,Scope
Gtrend t-1,-0.0007183902873219294,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-2,-0.00020725613818426206,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-3,-0.0001816874168416721,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-4,-0.00017408111911027327,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-4,-0.00014548466729008558,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-1,-0.00014241068191213693,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-3,-0.00012604697764921624,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-2,-3.7763800490728944e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-5,-1.8264278081926016e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-10,-1.282021403312475e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-5,-1.2194861968357895e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-8,-7.772197326023217e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-11,-4.7013163566589355e-06,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-14,-3.1806528568260883e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-17,-1.684700449307991e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-19,-1.6193836927386185e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-18,-7.13765621183915e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-11,-6.20881716408006e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-21,-6.074706713349309e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-13,-5.584210157373592e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-23,-2.5331974029541016e-07,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-21,-1.4429291089398943e-07,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-22,-1.1784334977282818e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-26,-1.1747082074436976e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-19,-5.3892532981408836e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-23,-2.7939677238464355e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-12,-2.359350522243564e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-37,-9.313225746154785e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-22,-5.712111790512342e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-50,-5.2154064157650115e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-43,-5.091230072945541e-09,mae,ETH,Deep Learning LSTM,1 day ahead
BTC t-51,-4.96705373012607e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-55,-4.718701044487128e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-42,-4.3461720125592684e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-52,-3.849466641281385e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-58,-3.725290298461914e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-41,-3.6011139521729962e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-54,-3.6011139521729962e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-58,-3.4769376093535254e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-60,-3.4769376093535254e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-47,-3.3527612665340545e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-54,-3.2285849237145836e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-44,-3.2285849237145836e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-45,-3.2285849237145836e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-48,-3.1044085808951127e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-47,-3.1044085808951127e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-47,-2.856055895256171e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-48,-2.856055895256171e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-60,-2.7318795524367e-09,mae,ETH,Deep Learning LSTM,1 day ahead
BTC t-57,-2.7318795524367e-09,mae,ETH,Deep Learning LSTM,1 day ahead
BTC t-56,-2.7318795524367e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-59,-2.7318795524367e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-44,-2.7318795524367e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-51,-2.6077032061477823e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-45,-2.6077032061477823e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-54,-2.4835268633283114e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-48,-2.4835268633283114e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-59,-2.4835268633283114e-09,mae,ETH,Deep Learning LSTM,1 day ahead
BTC t-55,-2.4835268633283114e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-46,-2.4835268633283114e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-46,-2.3593505205088405e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-46,-2.3593505205088405e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-50,-2.2351741776893697e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-24,-2.2351741776893697e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-57,-2.2351741776893697e-09,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-56,-2.2351741776893697e-09,mae,ETH,Deep Learning LSTM,1 day ahead
BTC t-54,-2.2351741776893697e-09,mae,ETH,Deep Learning LSTM,1 day ahead
BTC t-53,-2.2351741776893697e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-45,-2.1109978348698988e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-60,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-57,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-56,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-55,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-59,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-56,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-53,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
BTC t-44,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-56,-1.986821492050428e-09,mae,ETH,Deep Learning LSTM,1 day ahead
