Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date
Close_t-1,1605.4829655524727,1605.4829655524727,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-0,1554.3652015437917,1554.3652015437917,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-2,1437.9502046955452,1437.9502046955452,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-3,1193.5245988896145,1193.5245988896145,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-4,971.3246280412022,971.3246280412022,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-5,806.0864460336695,806.0864460336695,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-6,690.9152144808694,690.9152144808694,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-57,618.3494436139592,618.3494436139592,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-7,580.3719373474985,580.3719373474985,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-8,506.4600255767123,506.4600255767123,2021-06-30,Deep Learning LSTM,BTC,1 day ahead,2021-06-30
Close_t-1,1595.7562805515504,1595.7562805515504,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-0,1534.1182278670517,1534.1182278670517,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-2,1431.463607491773,1431.463607491773,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-3,1209.5886402256926,1209.5886402256926,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-4,973.120903503626,973.120903503626,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-5,796.8494939154148,796.8494939154148,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-6,668.9393978874753,668.9393978874753,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Volume_t-42,639.9727314930394,639.9727314930394,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-7,565.6470182448556,565.6470182448556,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-8,482.00850922888674,482.00850922888674,2021-07-01,Deep Learning LSTM,BTC,1 day ahead,2021-07-01
Close_t-1,1585.4735994876585,1585.4735994876585,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-0,1485.5409640424764,1485.5409640424764,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-2,1403.8499043825416,1403.8499043825416,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-3,1197.5024443509672,1197.5024443509672,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-4,957.2636693321848,957.2636693321848,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-5,768.6954997665046,768.6954997665046,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-6,647.5176647077321,647.5176647077321,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Volume_t-43,647.0346047031046,647.0346047031046,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-7,560.0853381281825,560.0853381281825,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-8,476.98660589864136,476.98660589864136,2021-07-02,Deep Learning LSTM,BTC,1 day ahead,2021-07-02
Close_t-1,1561.1069387280725,1561.1069387280725,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-0,1506.918875325669,1506.918875325669,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-2,1410.526202240113,1410.526202240113,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-3,1184.3426428444795,1184.3426428444795,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-4,964.0953883661684,964.0953883661684,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-5,778.057337910758,778.057337910758,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-6,654.3021968089953,654.3021968089953,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Volume_t-44,615.0543755567359,615.0543755567359,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-7,533.0396277424765,533.0396277424765,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-8,481.46614398099734,481.46614398099734,2021-07-03,Deep Learning LSTM,BTC,1 day ahead,2021-07-03
Close_t-1,1554.0872244136376,1554.0872244136376,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-0,1483.03415560816,1483.03415560816,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-2,1385.426606178635,1385.426606178635,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-3,1170.2958584016887,1170.2958584016887,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-4,978.3289426345245,978.3289426345245,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-5,782.0031319533234,782.0031319533234,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-6,659.356420413238,659.356420413238,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Volume_t-45,601.6105911207962,601.6105911207962,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-7,550.3892435593054,550.3892435593054,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
Close_t-8,472.0128254214343,472.0128254214343,2021-07-04,Deep Learning LSTM,BTC,1 day ahead,2021-07-04
