Feature,Importance,Metric,Ticker,Model,Scope
Gtrend t-2,-0.00035842830823861957,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-9,-0.0002632277260667913,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-1,-0.00023811738387270742,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-3,-0.00019283592700958252,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-1,-0.00017382130026817252,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-2,-0.00013090247909227845,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-12,-0.00010099227476782421,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-11,-9.794904985048133e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-13,-9.782488147417473e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-4,-8.344208891713709e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-14,-7.957200944055248e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-9,-6.291865505792665e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-7,-5.296453345852645e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-13,-4.971336945539667e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-14,-4.319721657055492e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-16,-4.0470865762524955e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-11,-3.91519213621995e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-5,-3.4100313981374336e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-12,-2.007260918617318e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-8,-1.7405293365496677e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-4,-1.3780345519381898e-05,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-17,-1.186231772104876e-05,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-16,-1.0645637909569017e-05,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-18,-1.0159860054651665e-05,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-8,-9.269324338725266e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-15,-8.557240168252656e-06,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-12,-6.6099067529031e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-15,-6.503917173834861e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-14,-6.4216554164879536e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-18,-5.824118852613275e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-16,-4.654129346210595e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-20,-4.476308822630448e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-17,-3.875046968460777e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-13,-3.832827011742562e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-17,-3.4737090269729154e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-21,-3.1399230162286462e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-25,-2.959122260410424e-06,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-19,-2.5915602842943586e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-20,-2.336005369821259e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-23,-1.9334256649017334e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-18,-1.9297003746032715e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-19,-1.846998929976723e-06,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-22,-1.8080075581856925e-06,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-20,-1.7690161863946618e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-18,-1.646578311920166e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-22,-1.499305168788101e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-15,-1.389533281326294e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-26,-1.3664364814751362e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-24,-1.1670092741646043e-06,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-17,-1.1126200358049787e-06,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-21,-7.828076680482798e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-22,-5.389253298418439e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-28,-4.1301051775452513e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-25,-3.697971502937547e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-31,-2.5207797686027655e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-32,-1.9470850626604475e-07,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-25,-1.8700957298348198e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Gtrend t-27,-1.808007558182223e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-22,-1.50998433430527e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-34,-1.4727314313206508e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-30,-1.3932585716039392e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-33,-1.3783574104309082e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-35,-1.2069940566808435e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-34,-1.204510529824454e-07,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-31,-9.909272193769914e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-35,-9.263555208680052e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-30,-8.493661880423775e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-32,-8.344650268346521e-08,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-32,-8.170803387705372e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-33,-7.425745328012989e-08,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-27,-7.102886835641531e-08,mae,ETH,Deep Learning LSTM,1 day ahead
FVX t-23,-6.581346193718085e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-38,-6.482005119115564e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-37,-5.21540641784668e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-39,-4.94221846260301e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-36,-3.5514434178207654e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-36,-3.3527612686157227e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Volume t-38,-3.178914387974574e-08,mae,ETH,Deep Learning LSTM,1 day ahead
Close t-41,-3.104408581935947e-08,mae,ETH,Deep Learning LSTM,1 day ahead
