Feature,Importance,Metric,Ticker,Model,Scope
Volume t-1,-0.00045775337439867003,mae,LTC,Deep Learning LSTM,1 day ahead
Volume t-2,-0.0004542178662938455,mae,LTC,Deep Learning LSTM,1 day ahead
Volume t-3,-0.00011227930944193373,mae,LTC,Deep Learning LSTM,1 day ahead
TYX t-4,-9.72826921454839e-05,mae,LTC,Deep Learning LSTM,1 day ahead
TYX t-5,-8.821292101791542e-05,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-8,-8.415435227057677e-05,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-9,-7.188604880912358e-05,mae,LTC,Deep Learning LSTM,1 day ahead
TYX t-6,-3.79536814817949e-05,mae,LTC,Deep Learning LSTM,1 day ahead
TYX t-3,-2.7407563663116308e-05,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-7,-2.6703067511544415e-05,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-10,-2.1788217902007218e-05,mae,LTC,Deep Learning LSTM,1 day ahead
TYX t-7,-8.885716357188989e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Volume t-9,-4.548814198739731e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-15,-4.466371233715488e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-16,-3.036308835198398e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-17,-2.2571789075227777e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-18,-2.2417061949428496e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Volume t-10,-2.18528590789982e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-17,-1.697589273319533e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-13,-1.4776727855631e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-19,-1.1193017437037545e-06,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-20,-6.32870687196363e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-20,-6.009862847516922e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-21,-5.583886165082264e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-22,-4.1678343733544954e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-23,-4.051891091746973e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-18,-3.5681136666826374e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-15,-2.818802198878423e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-24,-2.097185343892527e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-14,-1.208660287965735e-07,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-25,-6.082939774804119e-08,mae,LTC,Deep Learning LSTM,1 day ahead
TYX t-20,-5.968629497241085e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-24,-5.886979298833084e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-25,-5.576708545299014e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Volume t-18,-5.184787593356943e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Volume t-19,-4.8908468795738624e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Close t-16,-4.8091966811658615e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-19,-2.963902199018542e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Volume t-11,-2.3637732413789303e-08,mae,LTC,Deep Learning LSTM,1 day ahead
Gtrend t-26,-1.6125914166498223e-08,mae,LTC,Deep Learning LSTM,1 day ahead
