Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date
Close_t-2,6.978152219604798,6.978152219604798,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-1,6.925721722092825,6.925721722092825,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-3,6.137419121314676,6.137419121314676,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-0,5.944434354374362,5.944434354374362,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-4,5.701601723333652,5.701601723333652,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-5,5.249798113919317,5.249798113919317,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-6,4.562017819093918,4.562017819093918,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-7,3.8256237364557637,3.8256237364557637,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-8,3.6162291787176377,3.6162291787176377,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-9,3.31081278762081,3.31081278762081,2021-06-30,Deep Learning LSTM,LTC,1 day ahead,2021-06-30
Close_t-2,7.252187886047893,7.252187886047893,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-1,7.123548746248008,7.123548746248008,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-3,6.5350808150596,6.5350808150596,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-0,6.092040679498686,6.092040679498686,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-4,5.809617900380984,5.809617900380984,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-5,5.336039440395825,5.336039440395825,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-6,4.588981442457067,4.588981442457067,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-7,4.117274563236018,4.117274563236018,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-8,3.545262016431902,3.545262016431902,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-10,3.0659111809034467,3.0659111809034467,2021-07-01,Deep Learning LSTM,LTC,1 day ahead,2021-07-01
Close_t-1,7.195992812243262,7.195992812243262,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-2,6.977099030065751,6.977099030065751,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-3,6.47198168471178,6.47198168471178,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-0,5.915572555695576,5.915572555695576,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-4,5.664030218255116,5.664030218255116,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-5,4.981285198207931,4.981285198207931,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-6,4.368122531279206,4.368122531279206,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-7,3.838158222678895,3.838158222678895,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-8,3.2447680751955335,3.2447680751955335,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-49,2.5795926687050255,2.5795926687050255,2021-07-02,Deep Learning LSTM,LTC,1 day ahead,2021-07-02
Close_t-1,7.051165836556967,7.051165836556967,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-2,7.00297206388569,7.00297206388569,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-3,6.576502282405526,6.576502282405526,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-0,6.019723851352176,6.019723851352176,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-4,5.834414521909289,5.834414521909289,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-5,5.132598717485433,5.132598717485433,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-6,4.36922869214574,4.36922869214574,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-7,3.9218945849150226,3.9218945849150226,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-8,3.496703884356975,3.496703884356975,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Volume_t-58,2.635678890520025,2.635678890520025,2021-07-03,Deep Learning LSTM,LTC,1 day ahead,2021-07-03
Close_t-2,6.920881077702215,6.920881077702215,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-1,6.899146137723324,6.899146137723324,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-3,6.44045631999611,6.44045631999611,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-4,5.858933593271937,5.858933593271937,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-0,5.694277779641194,5.694277779641194,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-5,5.097026872797224,5.097026872797224,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-6,4.326471829847927,4.326471829847927,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-7,3.915838314038889,3.915838314038889,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
Close_t-8,3.3703573308043873,3.3703573308043873,2021-07-04,Deep Learning LSTM,LTC,1 day ahead,2021-07-04
