Feature,Importance,Metric,Ticker,Model,Scope
Close t-7,-0.001174804190525007,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-10,-0.0009644911588706888,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-9,-0.0009457567415651,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-11,-0.0009262520316263706,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-8,-0.0007521172619474048,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-12,-0.0006691541600919865,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-15,-0.0005519521236897369,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-13,-0.000523401352605049,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-14,-0.0005031831646765302,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-6,-0.000468794179052618,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-4,-0.00034062636708444977,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-17,-0.00032426583341763765,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-16,-0.0002647193734783143,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-19,-0.00022980871592370375,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-18,-0.00017251609167220905,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-20,-0.00017138646334176333,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-22,-0.0001372028196628891,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-5,-0.00011588709256613039,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-21,-0.00011277319623295354,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-23,-8.488820023732843e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Gtrend t-5,-7.124756229729204e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-24,-5.765652241316102e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-25,-5.2808755881168096e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-26,-4.5136556233445896e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Gtrend t-17,-3.697154039142281e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-28,-3.247207974734628e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-3,-2.4066436780642575e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-27,-2.2003462869828877e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-2,-1.99328342529205e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-29,-1.830693385372617e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-30,-1.3493981263410643e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-31,-1.307105364864794e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-6,-1.0464595605250843e-05,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-32,-8.281820440946691e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-33,-7.572035266929095e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Gtrend t-15,-7.176979917505877e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-8,-7.150679418487654e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Gtrend t-23,-6.480013824628622e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-1,-5.8984715644652685e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-34,-5.6448660484750834e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-4,-3.844764951157348e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-36,-3.335614726970859e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Gtrend t-16,-3.2107708409882807e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-35,-3.067679601172907e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Gtrend t-2,-2.9706412330438026e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-16,-2.7378332125016502e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Volume t-14,-2.5896585150939067e-06,mae,NMC,Deep Learning LSTM,1 day ahead
Close t-37,-2.1244565101517787e-06,mae,NMC,Deep Learning LSTM,1 day ahead
