<<<<<<< HEAD
Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date
Close_t-4,0.22134304392681495,0.22134304392681495,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-3,0.21895776530907252,0.21895776530907252,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-5,0.21603217953996348,0.21603217953996348,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-2,0.21236322400675703,0.21236322400675703,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-9,0.2058984811122938,0.2058984811122938,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-1,0.20532424486066086,0.20532424486066086,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-10,0.20151226319353138,0.20151226319353138,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-12,0.1943416406602111,0.1943416406602111,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-13,0.1895979223201839,0.1895979223201839,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-15,0.18752685913896794,0.18752685913896794,2021-06-30,Deep Learning LSTM,NMC,1 day ahead,2021-06-30
Close_t-4,0.2197414923186497,0.2197414923186497,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-3,0.2188252989019281,0.2188252989019281,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-5,0.2160323738950203,0.2160323738950203,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-6,0.21461360453488906,0.21461360453488906,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-2,0.21372194644328033,0.21372194644328033,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-1,0.20652829610746123,0.20652829610746123,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-10,0.2021796723997935,0.2021796723997935,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-13,0.18952381467691645,0.18952381467691645,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-15,0.18738196004786434,0.18738196004786434,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-16,0.18511749046018475,0.18511749046018475,2021-07-01,Deep Learning LSTM,NMC,1 day ahead,2021-07-01
Close_t-4,0.220309981684832,0.220309981684832,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-3,0.21765566118193969,0.21765566118193969,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-5,0.21711336893708633,0.21711336893708633,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-6,0.2139608127321825,0.2139608127321825,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-2,0.21382457076786002,0.21382457076786002,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-7,0.21147909725620131,0.21147909725620131,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-1,0.2077363146862387,0.2077363146862387,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-11,0.1966017932852043,0.1966017932852043,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-14,0.18767576586301854,0.18767576586301854,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-17,0.18037661414853562,0.18037661414853562,2021-07-02,Deep Learning LSTM,NMC,1 day ahead,2021-07-02
Close_t-4,0.2193473561394295,0.2193473561394295,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-3,0.215637849235199,0.215637849235199,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-5,0.21515685827794048,0.21515685827794048,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-6,0.21375882397628904,0.21375882397628904,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-2,0.2130574471482587,0.2130574471482587,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-7,0.210638085898307,0.210638085898307,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-8,0.2065980668369797,0.2065980668369797,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-1,0.20604369651329832,0.20604369651329832,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-0,0.19440172717737852,0.19440172717737852,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-12,0.19295658876044655,0.19295658876044655,2021-07-03,Deep Learning LSTM,NMC,1 day ahead,2021-07-03
Close_t-4,0.22007133495161213,0.22007133495161213,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-5,0.21754598469804784,0.21754598469804784,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-3,0.2171983085767089,0.2171983085767089,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-6,0.21519695344050566,0.21519695344050566,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-7,0.2129362218829373,0.2129362218829373,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-2,0.21276175733785047,0.21276175733785047,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-8,0.20913526456502182,0.20913526456502182,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-1,0.2062463196700109,0.2062463196700109,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-9,0.2037820205931748,0.2037820205931748,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-0,0.19178207188434435,0.19178207188434435,2021-07-04,Deep Learning LSTM,NMC,1 day ahead,2021-07-04
Close_t-3,0.2184397408710404,0.2184397408710404,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-4,0.21832596983694838,0.21832596983694838,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-5,0.21767604867124335,0.21767604867124335,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-6,0.2135376348188243,0.2135376348188243,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-2,0.21230673304460382,0.21230673304460382,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-7,0.2116294966063743,0.2116294966063743,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-8,0.20795503497993859,0.20795503497993859,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-1,0.20670517277842448,0.20670517277842448,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-9,0.20398756080494956,0.20398756080494956,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-10,0.19947941681744474,0.19947941681744474,2021-07-05,Deep Learning LSTM,NMC,1 day ahead,2021-07-05
Close_t-5,0.22079063956847658,0.22079063956847658,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
Close_t-4,0.21882464857381886,0.21882464857381886,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
Close_t-3,0.21824631682207438,0.21824631682207438,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
Close_t-6,0.21484285363885555,0.21484285363885555,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
Close_t-2,0.21477408502994483,0.21477408502994483,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
Close_t-8,0.21040026757180247,0.21040026757180247,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
Close_t-7,0.2097293833708042,0.2097293833708042,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
Close_t-1,0.20480067899135343,0.20480067899135343,2021-07-06,Deep Learning LSTM,NMC,1 day ahead,2021-07-06
