id,title,author,published_utc,article_url,tickers,amp_url,image_url,description,title_finBERT,title_financialBERT,description_finBERT,description_financialBERT
RPY4SmpuTGtlsj5w97zmuIzDn11Eg3PK-Mh3GcafLR8,"'It could be the difference between an approval and denial': Experian, Equifax and TransUnion remove fully-paid medical debt from credit reports. Will this help your credit score?",MarketWatch,2022-07-03T17:16:00Z,https://www.marketwatch.com/story/it-could-be-the-difference-between-an-approval-and-denial-experian-equifax-and-transunion-remove-fully-paid-medical-debt-from-credit-reports-on-july-1-will-this-help-your-credit-score-11656703154,EFX TRU FICO,https://www.marketwatch.com/amp/story/it-could-be-the-difference-between-an-approval-and-denial-experian-equifax-and-transunion-remove-fully-paid-medical-debt-from-credit-reports-on-july-1-will-this-help-your-credit-score-11656703154,https://images.mktw.net/im-576161/social,"'The upside is tremendous,' one credit expert said.",neutral,neutral,positive,positive
nRYl43lGgHxQgVp2Q-TrTccz0-dMvtViITL5umAijc8,"I'm close to retirement and I own 2 homes. If I sell my primary home, I'll get $100K. My plan is to rent a place for $1,400. Is that a good idea?",MarketWatch,2022-07-03T17:13:00Z,https://www.marketwatch.com/story/im-close-to-retirement-and-i-own-2-homes-if-i-sell-my-primary-home-ill-get-100k-my-plan-is-to-rent-a-place-for-1-400-is-that-a-good-idea-11656335004,ABNB,https://www.marketwatch.com/amp/story/im-close-to-retirement-and-i-own-2-homes-if-i-sell-my-primary-home-ill-get-100k-my-plan-is-to-rent-a-place-for-1-400-is-that-a-good-idea-11656335004,https://images.mktw.net/im-264854/social,"'When I retire and possibly downsize and rent, my vacation home will be used as an Airbnb.'",neutral,neutral,neutral,neutral
zxzWpJLlAd9IewYVX-LPi8ZV3WzLH_Geh680CxVWnGI,"Office workers in San Francisco, Manhattan and Chicago are not returning to the office in significant numbers, research shows",MarketWatch,2022-07-03T17:10:00Z,https://www.marketwatch.com/story/office-workers-in-san-francisco-manhattan-and-chicago-are-not-returning-to-the-office-in-significant-numbers-research-shows-11656342107,SBUX,https://www.marketwatch.com/amp/story/office-workers-in-san-francisco-manhattan-and-chicago-are-not-returning-to-the-office-in-significant-numbers-research-shows-11656342107,https://images.mktw.net/im-571295/social,New research reveals that we still have a long way to go before happy hour's back on again.,negative,neutral,neutral,neutral
_N5yUD7QenKjdn5_lysRDvqpManLRpTNyMNO3EHg3No,'It's nuts': Real-estate agents describe chaotic bidding wars in New York City's red-hot rental market,MarketWatch,2022-07-03T17:09:00Z,https://www.marketwatch.com/story/its-nuts-realtors-describe-chaos-in-new-york-citys-hot-rental-market-11656353078,AAPL,https://www.marketwatch.com/amp/story/its-nuts-realtors-describe-chaos-in-new-york-citys-hot-rental-market-11656353078,https://images.mktw.net/im-572252/social,"As workers and college students return to the city over summer, rental prices have shot up.",negative,neutral,negative,positive
Qjk-pspSs5Hkx9_ngUsDhd-wGV7UZOEk4dg4jdqTWE8,Warren Buffett's Berkshire Hathaway Buys 9.9 Million Additional Shares Of Occidental Petroleum,Bibhu Pattnaik,2022-07-03T17:01:58Z,https://www.benzinga.com/news/22/07/27942124/berkshire-hathaway-buys-9-9m-more-occidental-petroleum-corp-shares,CVX OXY,https://www.benzinga.com/amp/content/27942124,https://cdn.benzinga.com/files/images/story/2022/07/03/10311228024_c140af1e9a_c.jpg?width=1200&height=800&fit=crop,"Warren Buffett-owned Berkshire Hathaway Inc. (NYSE: BRK-A) has picked up 9.9 million additional shares of Occidental Petroleum Corporation (NYSE: OXY).

According to the U.S. Securities and Exchange Commission filing, Berkshire paid close to $582 million for ...",neutral,neutral,neutral,neutral
z3qSdGR3UJuUZxEIkdQ7ASUVQtY-GguPsaf4kHKW2yM,Mark Zuckerberg issues dire economic warning to Facebook and other Meta employees,MarketWatch,2022-07-03T16:48:00Z,https://www.marketwatch.com/story/mark-zuckerberg-issues-dire-economic-warning-to-meta-employees-11656781950,META AAPL TSLA NFLX U COIN SFIX RDFN TWTR INTC,https://www.marketwatch.com/amp/story/mark-zuckerberg-issues-dire-economic-warning-to-meta-employees-11656781950,https://images.mktw.net/im-569787/social,"Zuckerberg's chilling message to Meta Platforms Inc. employees: The company faces one of the ""worst downturns that we've seen in recent history"" that will necessitate a scaling back in hires and resources.",negative,negative,negative,negative
1j99DcC4NsVXpWbBrKs2KicnSWMvbWulMllPE00am48,A rare selloff for both stocks and bonds slammed investors. Will the 60-40 portfolio survive?,MarketWatch,2022-07-03T16:25:00Z,https://www.marketwatch.com/story/the-60-40-portfolio-is-supposed-to-protect-investors-from-volatility-so-why-is-it-having-such-a-bad-year-11656716626,DJIA COMP,https://www.marketwatch.com/amp/story/the-60-40-portfolio-is-supposed-to-protect-investors-from-volatility-so-why-is-it-having-such-a-bad-year-11656716626,https://images.mktw.net/im-576491/social,The first six months of 2022 has seen the traditional portfolio of stocks and bonds book its worst performance in decades. What comes next hinges on the Federal Reserve and the economy.,neutral,negative,negative,neutral
gVU2Ug6qUdXPJj9YIte4bBrA5aQh1JCHbWpP_IDgyBs,1 Bright Green Flag for Nike,newsfeedback@fool.com (Parkev Tatevosian),2022-07-03T15:30:00Z,https://www.fool.com/investing/2022/07/03/1-bright-green-flag-for-nike/,NKE,,https://g.foolcdn.com/editorial/images/687885/gettyimages-1308574122.jpg,"The company has been boosting earnings over the last several years, and this strategy shift could accelerate the momentum.",neutral,neutral,positive,positive
9YidQL_FFoPL8GWHvEcCfJFS8ataO1_aWrcdjzTG1Xo,How to Make a Penny Stocks Watchlist in July 2022,D. Marie,2022-07-03T15:30:00Z,https://pennystocks.com/featured/2022/07/03/how-make-penny-stocks-watchlist-july-2022/,ENJY MREO VLON,https://pennystocks.com/featured/2022/07/03/how-make-penny-stocks-watchlist-july-2022/?amp,https://pennystocks.com/wp-content/uploads/2022/07/hot-penny-stocks-to-buy-now.jpg,"Consider these tips for making a penny stocks watchlist right now 
The post How to Make a Penny Stocks Watchlist in July 2022 appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",neutral,neutral,neutral,neutral
qY4Ymhp8ZP16mAkqA4J1eLI-eJwk3dcMf8xG_biVWvE,Ouch — Jeff Bezos Slams Biden For Blaming Gas Stations: Here's What The Amazon Founder Said,Bibhu Pattnaik,2022-07-03T15:29:10Z,https://www.benzinga.com/news/22/07/27942055/jeff-bezos-slams-biden-for-blaming-gas-companies-for-high-pump-prices,AMZN,https://www.benzinga.com/amp/content/27942055,https://cdn.benzinga.com/files/images/story/2022/07/03/bezos_biden.jpg?width=1200&height=800&fit=crop,"Amazon.com, Inc (NASDAQ: AMZN) founder Jeff Bezos has blasted President Joe Biden over his latest remarks asking gas companies to cut their prices amid rising inflation. 
In a recent tweet, Biden urged gas stations to bring down the price and asked them to take immediate action. 
My message to the companies running gas stations and setting prices at the pump is simple: this is a time of war and global peril.
Bring down the price you are charging at the pump to reflect the cost you’re ...",neutral,neutral,negative,negative
