index,id,name,symbol,slug,rank,is_active,days_history,hash_symbol,hash_slug,twt_query
0,1,Bitcoin,BTC,bitcoin,1,1,3339 days 02:11:39,#BTC,#bitcoin,BTC OR #BTC OR Bitcoin OR bitcoin OR #bitcoin
151,1027,Ethereum,ETH,ethereum,2,1,2508 days 06:09:30,#ETH,#ethereum,ETH OR #ETH OR Ethereum OR ethereum OR #ethereum
121,825,Tether,USDT,tether,3,1,2671 days 07:24:34,#USDT,#tether,USDT OR #USDT OR Tether OR tether OR #tether
18,52,XRP,XRP,xrp,8,1,3241 days 02:07:55,#XRP,#xrp,XRP OR #XRP OR XRP OR xrp OR #xrp
27,74,Dogecoin,DOGE,dogecoin,10,1,3108 days 06:16:26,#DOGE,#dogecoin,DOGE OR #DOGE OR Dogecoin OR dogecoin OR #dogecoin
1,2,Litecoin,LTC,litecoin,18,1,3339 days 02:11:38,#LTC,#litecoin,LTC OR #LTC OR Litecoin OR litecoin OR #litecoin
91,512,Stellar,XLM,stellar,24,1,2875 days 15:14:41,#XLM,#stellar,XLM OR #XLM OR Stellar OR stellar OR #stellar
72,328,Monero,XMR,monero,29,1,2951 days 19:17:47,#XMR,#monero,XMR OR #XMR OR Monero OR monero OR #monero
40,131,Dash,DASH,dash,70,1,3047 days 07:14:51,#DASH,#dash,DASH OR #DASH OR Dash OR dash OR #dash
128,873,NEM,XEM,nem,83,1,2636 days 20:29:19,#XEM,#nem,XEM OR #XEM OR NEM OR nem OR #nem
157,1042,Siacoin,SC,siacoin,120,1,2489 days 02:39:32,#SC,#siacoin,SC OR #SC OR Siacoin OR siacoin OR #siacoin
36,109,DigiByte,DGB,digibyte,143,1,3055 days 07:45:22,#DGB,#digibyte,DGB OR #DGB OR DigiByte OR digibyte OR #digibyte
92,541,Syscoin,SYS,syscoin,191,1,2860 days 09:54:39,#SYS,#syscoin,SYS OR #SYS OR Syscoin OR syscoin OR #syscoin
167,1104,Augur,REP,augur,194,1,2427 days 03:44:30,#REP,#augur,REP OR #REP OR Augur OR augur OR #augur
66,291,MaidSafeCoin,MAID,maidsafecoin,282,1,2974 days 17:37:34,#MAID,#maidsafecoin,MAID OR #MAID OR MaidSafeCoin OR maidsafecoin OR #maidsafecoin
62,268,WhiteCoin,XWC,whitecoin,362,1,2984 days 08:46:53,#XWC,#whitecoin,XWC OR #XWC OR WhiteCoin OR whitecoin OR #whitecoin
107,693,Verge,XVG,verge,364,1,2793 days 22:44:34,#XVG,#verge,XVG OR #XVG OR Verge OR verge OR #verge
54,213,MonaCoin,MONA,monacoin,444,1,3013 days 15:49:05,#MONA,#monacoin,MONA OR #MONA OR MonaCoin OR monacoin OR #monacoin
127,859,Woodcoin,LOG,woodcoin,463,1,2645 days 18:54:33,#LOG,#woodcoin,LOG OR #LOG OR Woodcoin OR woodcoin OR #woodcoin
59,258,Groestlcoin,GRS,groestlcoin,492,1,2991 days 00:13:07,#GRS,#groestlcoin,GRS OR #GRS OR Groestlcoin OR groestlcoin OR #groestlcoin
86,463,BitShares,BTS,bitshares,493,1,2890 days 17:14:42,#BTS,#bitshares,BTS OR #BTS OR BitShares OR bitshares OR #bitshares
116,788,Circuits of Value,COVAL,circuits-of-value,534,1,2704 days 07:19:37,#COVAL,#circuits-of-value,COVAL OR #COVAL OR Circuits of Value OR circuits-of-value OR #circuits-of-value
2,3,Namecoin,NMC,namecoin,575,1,3339 days 02:11:38,#NMC,#namecoin,NMC OR #NMC OR Namecoin OR namecoin OR #namecoin
37,118,ReddCoin,RDD,redd,682,1,3051 days 20:00:43,#RDD,#redd,RDD OR #RDD OR ReddCoin OR redd OR #redd
80,372,Bytecoin,BCN,bytecoin-bcn,722,1,2924 days 07:57:07,#BCN,#bytecoin-bcn,BCN OR #BCN OR Bytecoin OR bytecoin-bcn OR #bytecoin-bcn
14,41,Infinitecoin,IFC,infinitecoin,753,1,3266 days 07:31:58,#IFC,#infinitecoin,IFC OR #IFC OR Infinitecoin OR infinitecoin OR #infinitecoin
35,99,Vertcoin,VTC,vertcoin,763,1,3072 days 15:31:03,#VTC,#vertcoin,VTC OR #VTC OR Vertcoin OR vertcoin OR #vertcoin
117,789,Nexus,NXS,nexus,770,1,2702 days 02:04:37,#NXS,#nexus,NXS OR #NXS OR Nexus OR nexus OR #nexus
4,5,Peercoin,PPC,peercoin,786,1,3339 days 02:11:37,#PPC,#peercoin,PPC OR #PPC OR Peercoin OR peercoin OR #peercoin
41,132,Counterparty,XCP,counterparty,820,1,3046 days 06:59:24,#XCP,#counterparty,XCP OR #XCP OR Counterparty OR counterparty OR #counterparty
155,1037,Agoras: Currency of Tau,AGRS,agoras-tokens,830,1,2491 days 18:09:32,#AGRS,#agoras-tokens,AGRS OR #AGRS OR Agoras: Currency of Tau OR agoras-tokens OR #agoras-tokens
28,77,Diamond,DMD,diamond,840,1,3104 days 08:27:01,#DMD,#diamond,DMD OR #DMD OR Diamond OR diamond OR #diamond
169,1107,PAC Protocol,PAC,pac-protocol,878,1,2420 days 22:59:33,#PAC,#pac-protocol,PAC OR #PAC OR PAC Protocol OR pac-protocol OR #pac-protocol
81,377,Navcoin,NAV,nav-coin,903,1,2929 days 09:15:24,#NAV,#nav-coin,NAV OR #NAV OR Navcoin OR nav-coin OR #nav-coin
101,624,bitCNY,BITCNY,bitcny,941,1,2826 days 16:34:38,#BITCNY,#bitcny,BITCNY OR #BITCNY OR bitCNY OR bitcny OR #bitcny
96,576,GameCredits,GAME,gamecredits,1017,1,2848 days 04:04:39,#GAME,#gamecredits,GAME OR #GAME OR GameCredits OR gamecredits OR #gamecredits
89,502,Carboncoin,CARBON,carboncoin,1035,1,2877 days 23:39:40,#CARBON,#carboncoin,CARBON OR #CARBON OR Carboncoin OR carboncoin OR #carboncoin
23,66,Nxt,NXT,nxt,1052,1,3119 days 15:12:20,#NXT,#nxt,NXT OR #NXT OR Nxt OR nxt OR #nxt
165,1087,Factom,FCT,factom,1078,1,2448 days 19:24:31,#FCT,#factom,FCT OR #FCT OR Factom OR factom OR #factom
163,1082,SIBCoin,SIB,sibcoin,1156,1,2458 days 22:39:31,#SIB,#sibcoin,SIB OR #SIB OR SIBCoin OR sibcoin OR #sibcoin
52,201,Einsteinium,EMC2,einsteinium,1160,1,2993 days 16:48:36,#EMC2,#einsteinium,EMC2 OR #EMC2 OR Einsteinium OR einsteinium OR #einsteinium
